user_id,city,signup_date,age_group,gender,acquisition_channel,zip_code
USR00076,"Austin, TX",2024-01-12,26-35,Male,Paid Search,10112
USR00077,"Austin, TX",2023-10-16,46-55,Female,Paid Search,97051
USR00078,"New York, NY",2024-03-12,26-35,Female,Paid Search,29581
USR00079,"Los Angeles, CA",2023-10-04,55+,Male,Paid Search,69722
USR00080,"New York, NY",2024-05-17,26-35,Female,Organic Search,26523
USR00081,"San Francisco, CA",2024-05-30,46-55,Female,Paid Search,76960
USR00082,"Dallas, TX",2023-12-16,36-45,Female,Paid Search,29552
USR00083,"Los Angeles, CA",2024-03-21,36-45,Female,Referral,20808
USR00084,"New York, NY",2023-12-16,46-55,Male,Social Media,82525
USR00085,"Los Angeles, CA",2023-05-17,36-45,Male,Paid Search,33620
USR00086,"Los Angeles, CA",2023-08-31,36-45,Female,Paid Search,10887
USR00087,"Austin, TX",2024-06-26,26-35,Female,Organic Search,41802
USR00088,"Dallas, TX",2023-02-09,18-25,Female,Organic Search,95024
USR00089,"Seattle, WA",2023-08-17,55+,Male,Organic Search,91938
USR00090,"Chicago, IL",2024-07-01,36-45,Male,Paid Search,96741
USR00091,"New York, NY",2023-08-11,46-55,Female,Organic Search,36049
USR00092,"Austin, TX",2023-01-06,26-35,Male,App Store,87789
USR00093,"Austin, TX",2023-11-18,18-25,Male,Paid Search,94526
USR00094,"Dallas, TX",2024-04-12,26-35,Male,Paid Search,17846
USR00095,"Austin, TX",2023-03-16,36-45,Male,Referral,56220
USR00096,"Chicago, IL",2023-01-04,26-35,Female,Organic Search,56163
USR00097,"Chicago, IL",2023-04-28,26-35,Male,Paid Search,13765
USR00098,"Chicago, IL",2024-05-18,26-35,Female,Referral,91486
USR00099,"New York, NY",2024-03-16,18-25,Male,Paid Search,55270
USR00100,"New York, NY",2023-07-13,36-45,Male,Paid Search,85277
USR00101,"New York, NY",2024-01-27,26-35,Male,App Store,98278
USR00102,"Dallas, TX",2023-01-26,46-55,Male,Social Media,32931
USR00103,"Los Angeles, CA",2024-03-10,26-35,Female,Referral,99116
USR00104,"Chicago, IL",2023-06-22,26-35,Male,Paid Search,65633
USR00105,"Seattle, WA",2023-10-27,18-25,Non-binary/Other,Referral,90702
USR00106,"Los Angeles, CA",2023-11-22,18-25,Male,Organic Search,61913
USR00107,"Chicago, IL",2024-02-14,26-35,Female,Paid Search,35991
USR00108,"Austin, TX",2023-04-28,26-35,Female,Organic Search,64845
USR00109,"Los Angeles, CA",2023-08-13,36-45,Female,Paid Search,65312
USR00110,"New York, NY",2024-06-15,26-35,Male,Paid Search,20561
USR00111,"Los Angeles, CA",2023-04-23,36-45,Male,Organic Search,26901
USR00112,"New York, NY",2023-05-20,46-55,Female,App Store,72875
USR00113,"Seattle, WA",2023-01-01,36-45,Female,Social Media,35917
USR00114,"San Francisco, CA",2023-03-31,18-25,Male,Referral,72120
USR00115,"Dallas, TX",2023-11-16,26-35,Male,Paid Search,11988
USR00116,"Seattle, WA",2023-05-19,18-25,Male,Social Media,24256
USR00117,"San Francisco, CA",2024-05-25,26-35,Male,Organic Search,97728
USR00118,"New York, NY",2023-09-16,55+,Female,Social Media,38230
USR00119,"Seattle, WA",2023-01-10,26-35,Female,Organic Search,69778
USR00120,"Dallas, TX",2023-09-18,26-35,Male,Social Media,55833
USR00121,"San Francisco, CA",2023-06-21,36-45,Male,Organic Search,32625
USR00122,"Seattle, WA",2023-01-13,36-45,Male,Social Media,42088
USR00123,"Los Angeles, CA",2023-06-17,36-45,Male,App Store,89650
USR00124,"New York, NY",2023-11-17,18-25,Male,Organic Search,51167
USR00125,"Los Angeles, CA",2023-11-15,26-35,Female,Paid Search,81291
USR00126,"Chicago, IL",2023-11-25,36-45,Female,App Store,75303
USR00127,"San Francisco, CA",2024-02-23,18-25,Female,Paid Search,86361
USR00128,"San Francisco, CA",2023-04-05,26-35,Female,Social Media,98229
USR00129,"New York, NY",2023-11-14,18-25,Male,Referral,14117
USR00130,"Chicago, IL",2023-08-24,18-25,Non-binary/Other,Paid Search,70710
USR00131,"Chicago, IL",2023-11-30,26-35,Female,Organic Search,77054
USR00132,"Los Angeles, CA",2024-01-11,26-35,Female,Organic Search,40949
USR00133,"New York, NY",2024-04-03,36-45,Male,Referral,32547
USR00134,"Los Angeles, CA",2023-05-17,36-45,Female,Paid Search,91882
USR00135,"Miami, FL",2024-06-30,46-55,Male,Paid Search,78136
USR00136,"Los Angeles, CA",2024-05-27,26-35,Male,Paid Search,74619
USR00137,"Chicago, IL",2023-10-23,26-35,Male,Paid Search,71842
USR00138,"Austin, TX",2023-11-16,18-25,Female,Social Media,36990
USR00139,"Los Angeles, CA",2023-12-15,36-45,Female,App Store,26193
USR00140,"Miami, FL",2023-08-17,36-45,Male,Paid Search,40109
USR00141,"Miami, FL",2023-09-27,18-25,Male,Social Media,29233
USR00142,"Los Angeles, CA",2023-10-18,55+,Female,Referral,91730
USR00143,"Chicago, IL",2023-06-14,18-25,Male,Paid Search,44510
USR00144,"Los Angeles, CA",2023-01-05,36-45,Female,App Store,11306
USR00145,"Los Angeles, CA",2024-01-14,36-45,Male,Organic Search,13849
USR00146,"New York, NY",2023-03-19,46-55,Female,Organic Search,22360
USR00147,"Dallas, TX",2024-02-14,36-45,Male,Social Media,55800
USR00148,"Chicago, IL",2023-05-12,46-55,Female,Paid Search,46963
USR00149,"New York, NY",2023-02-11,26-35,Female,Social Media,64330
USR00150,"Los Angeles, CA",2023-03-30,46-55,Female,Social Media,61707
USR00151,"Seattle, WA",2024-02-06,18-25,Female,Organic Search,28689
USR00152,"Los Angeles, CA",2023-10-23,46-55,Male,Social Media,39084
USR00153,"New York, NY",2023-10-22,36-45,Non-binary/Other,Paid Search,50387
USR00154,"Chicago, IL",2024-06-09,46-55,Female,Paid Search,84816
USR00155,"Denver, CO",2024-02-26,26-35,Female,Referral,12642
USR00156,"Los Angeles, CA",2023-01-23,36-45,Male,Social Media,52137
USR00157,"Austin, TX",2023-05-23,36-45,Male,Organic Search,89832
USR00158,"Austin, TX",2023-05-25,36-45,Male,Paid Search,65561
USR00159,"Los Angeles, CA",2023-08-13,18-25,Female,Referral,72260
USR00160,"Austin, TX",2024-05-17,18-25,Female,Referral,25438
USR00161,"Los Angeles, CA",2023-04-14,26-35,Male,Referral,58442
USR00162,"Dallas, TX",2023-02-08,26-35,Female,Organic Search,12994
USR00163,"Dallas, TX",2023-07-17,46-55,Male,Organic Search,11813
USR00164,"Dallas, TX",2024-01-26,26-35,Female,Paid Search,94381
USR00165,"New York, NY",2023-06-28,55+,Male,Social Media,65276
USR00166,"San Francisco, CA",2024-03-23,26-35,Female,Organic Search,51243
USR00167,"Los Angeles, CA",2024-05-14,26-35,Male,Organic Search,72912
USR00168,"New York, NY",2023-01-15,46-55,Female,App Store,70272
USR00169,"New York, NY",2023-10-16,36-45,Male,Organic Search,52051
USR00170,"Dallas, TX",2024-04-22,26-35,Female,App Store,88854
USR00171,"Austin, TX",2023-08-19,36-45,Male,Referral,92736
USR00172,"New York, NY",2024-02-24,36-45,Male,Social Media,75618
USR00173,"Chicago, IL",2023-06-06,26-35,Male,Organic Search,11920
USR00174,"Los Angeles, CA",2024-03-16,55+,Male,Organic Search,87219
USR00175,"Dallas, TX",2023-04-07,55+,Male,Referral,86872
USR00176,"New York, NY",2024-02-15,36-45,Male,Social Media,91132
USR00177,"Austin, TX",2023-10-16,26-35,Female,Referral,12093
USR00178,"Los Angeles, CA",2023-09-11,36-45,Male,Organic Search,22905
USR00179,"Seattle, WA",2023-07-15,18-25,Female,Referral,34351
USR00180,"New York, NY",2024-06-05,18-25,Female,Referral,40981
USR00181,"Los Angeles, CA",2024-05-31,26-35,Female,Referral,83903
USR00182,"New York, NY",2023-04-28,26-35,Female,Referral,80821
USR00183,"Seattle, WA",2023-06-08,46-55,Male,Social Media,92289
USR00184,"Seattle, WA",2023-08-16,36-45,Male,Referral,94021
USR00185,"Los Angeles, CA",2023-08-04,36-45,Male,Organic Search,88513
USR00186,"Dallas, TX",2023-01-15,26-35,Female,Paid Search,29874
USR00187,"San Francisco, CA",2023-06-06,26-35,Female,Organic Search,60931
USR00188,"Dallas, TX",2023-09-18,26-35,Female,Paid Search,17674
USR00189,"Chicago, IL",2023-06-06,55+,Female,Paid Search,60516
USR00190,"Los Angeles, CA",2023-02-16,18-25,Female,Organic Search,70686
USR00191,"New York, NY",2023-11-20,46-55,Female,Paid Search,79212
USR00192,"Seattle, WA",2023-05-10,36-45,Female,Organic Search,12426
USR00193,"Seattle, WA",2024-02-15,26-35,Male,Social Media,78498
USR00194,"Dallas, TX",2023-04-05,36-45,Male,App Store,39943
USR00195,"Los Angeles, CA",2023-10-19,26-35,Non-binary/Other,Organic Search,76395
USR00196,"Los Angeles, CA",2023-10-10,46-55,Male,App Store,54816
USR00197,"Austin, TX",2023-03-10,46-55,Male,Paid Search,14138
USR00198,"Seattle, WA",2023-01-11,26-35,Female,Organic Search,85945
USR00199,"Seattle, WA",2023-09-11,26-35,Male,Organic Search,14017
USR00200,"Austin, TX",2023-05-14,36-45,Male,Paid Search,20451
USR00201,"Dallas, TX",2023-01-23,46-55,Female,Social Media,72956
USR00202,"New York, NY",2023-12-12,26-35,Female,Referral,20278
USR00203,"New York, NY",2023-10-29,36-45,Male,Organic Search,53764
USR00204,"Seattle, WA",2023-12-29,36-45,Female,Organic Search,11134
USR00205,"Dallas, TX",2024-01-31,36-45,Male,Paid Search,72943
USR00206,"New York, NY",2023-08-06,26-35,Male,Organic Search,64318
USR00207,"New York, NY",2023-05-21,36-45,Female,Organic Search,70128
USR00208,"Dallas, TX",2023-07-29,46-55,Female,Organic Search,98056
USR00209,"New York, NY",2024-04-04,26-35,Female,Social Media,31869
USR00210,"New York, NY",2023-12-22,26-35,Female,Social Media,15039
USR00211,"Dallas, TX",2023-11-20,55+,Female,Paid Search,31281
USR00212,"Austin, TX",2023-05-13,26-35,Male,Social Media,20442
USR00213,"Dallas, TX",2023-05-07,46-55,Female,Paid Search,83788
USR00214,"Los Angeles, CA",2023-04-16,26-35,Female,Paid Search,37586
USR00215,"Austin, TX",2024-01-13,26-35,Female,Organic Search,63053
USR00216,"Los Angeles, CA",2023-02-20,46-55,Male,Referral,60489
USR00217,"Los Angeles, CA",2023-01-29,26-35,Female,App Store,93104
USR00218,"Austin, TX",2024-04-06,36-45,Female,Referral,96346
USR00219,"Dallas, TX",2023-10-23,26-35,Male,Paid Search,77087
USR00220,"San Francisco, CA",2023-10-24,36-45,Male,Referral,22625
USR00221,"Dallas, TX",2024-02-11,26-35,Female,Organic Search,44397
USR00222,"Dallas, TX",2024-02-09,26-35,Male,Social Media,68671
USR00223,"New York, NY",2023-12-12,55+,Female,Paid Search,76897
USR00224,"Los Angeles, CA",2024-02-24,26-35,Female,Paid Search,36149
USR00225,"Los Angeles, CA",2023-07-01,36-45,Female,Referral,70030
USR00226,"Los Angeles, CA",2023-01-01,26-35,Female,Referral,79906
USR00227,"Miami, FL",2024-01-06,36-45,Male,Organic Search,15283
USR00228,"Los Angeles, CA",2024-03-06,26-35,Female,Referral,17610
USR00229,"Seattle, WA",2023-11-05,55+,Female,Organic Search,53326
USR00230,"Dallas, TX",2023-05-17,26-35,Male,Referral,24924
USR00231,"San Francisco, CA",2023-07-21,26-35,Male,Social Media,86162
USR00232,"Chicago, IL",2024-03-11,18-25,Female,Social Media,10869
USR00233,"Dallas, TX",2023-11-09,26-35,Male,Paid Search,11014
USR00234,"Chicago, IL",2023-04-27,36-45,Female,Paid Search,20103
USR00235,"New York, NY",2023-09-01,26-35,Male,Organic Search,92522
USR00236,"Austin, TX",2024-06-20,46-55,Male,Referral,43458
USR00237,"Los Angeles, CA",2023-03-16,26-35,Male,Organic Search,92409
USR00238,"New York, NY",2024-01-21,26-35,Female,Paid Search,33248
USR00239,"Dallas, TX",2023-07-29,36-45,Female,Organic Search,99160
USR00240,"New York, NY",2024-04-19,36-45,Female,Organic Search,53516
USR00241,"Miami, FL",2024-02-22,26-35,Female,Referral,39061
USR00242,"Miami, FL",2023-12-13,26-35,Female,Organic Search,34170
USR00243,"Seattle, WA",2024-06-12,18-25,Male,Referral,18024
USR00244,"Los Angeles, CA",2023-06-28,36-45,Female,Paid Search,92214
USR00245,"New York, NY",2023-07-01,36-45,Female,Organic Search,95947
USR00246,"Seattle, WA",2023-01-25,26-35,Male,Paid Search,53803
USR00247,"Chicago, IL",2023-06-29,46-55,Female,Organic Search,29296
USR00248,"Miami, FL",2024-05-15,46-55,Male,Organic Search,96664
USR00249,"Miami, FL",2023-06-10,36-45,Female,Referral,28257
USR00250,"San Francisco, CA",2023-06-26,46-55,Female,Organic Search,22855
USR00251,"Los Angeles, CA",2023-10-12,26-35,Female,Social Media,95178
USR00252,"Los Angeles, CA",2023-03-04,18-25,Female,Organic Search,30025
USR00253,"San Francisco, CA",2023-06-05,26-35,Male,Organic Search,14458
USR00254,"Los Angeles, CA",2024-04-13,18-25,Female,Referral,73610
USR00255,"New York, NY",2023-02-18,36-45,Female,Paid Search,80843
USR00256,"Dallas, TX",2023-03-25,55+,Female,Organic Search,93961
USR00257,"Seattle, WA",2023-12-27,18-25,Female,Paid Search,59831
USR00258,"Austin, TX",2023-05-28,26-35,Male,Organic Search,53427
USR00259,"Dallas, TX",2023-12-08,26-35,Female,Social Media,48506
USR00260,"New York, NY",2024-04-20,55+,Male,Paid Search,15668
USR00261,"Dallas, TX",2023-03-04,26-35,Male,Social Media,57195
USR00262,"Boston, MA",2023-12-26,36-45,Male,Social Media,83233
USR00263,"New York, NY",2023-11-23,18-25,Male,Paid Search,34417
USR00264,"Chicago, IL",2023-05-21,26-35,Female,Social Media,91982
USR00265,"Seattle, WA",2023-08-03,55+,Female,Paid Search,20751
USR00266,"Austin, TX",2024-03-10,55+,Female,App Store,56218
USR00267,"Austin, TX",2023-11-14,18-25,Male,Organic Search,17352
USR00268,"Austin, TX",2023-02-01,55+,Non-binary/Other,Referral,89052
USR00269,"Los Angeles, CA",2023-10-12,36-45,Female,Paid Search,98835
USR00270,"Los Angeles, CA",2023-11-01,46-55,Male,Paid Search,38927
USR00271,"San Francisco, CA",2024-03-04,26-35,Female,Referral,51094
USR00272,"San Francisco, CA",2024-04-21,36-45,Male,Referral,64122
USR00273,"San Francisco, CA",2023-10-13,26-35,Female,Organic Search,39493
USR00274,"Seattle, WA",2023-05-24,36-45,Male,Organic Search,83539
USR00275,"Chicago, IL",2024-02-28,26-35,Male,Referral,41707
USR00276,"Chicago, IL",2023-01-19,18-25,Female,Referral,78814
USR00277,"San Francisco, CA",2023-01-18,26-35,Female,App Store,17296
USR00278,"Dallas, TX",2024-01-06,36-45,Female,Referral,35398
USR00279,"Austin, TX",2023-06-24,26-35,Female,App Store,45842
USR00280,"San Francisco, CA",2023-07-13,36-45,Female,Referral,23261
USR00281,"Seattle, WA",2024-05-16,55+,Male,Organic Search,86709
USR00282,"Los Angeles, CA",2023-04-23,18-25,Male,Organic Search,66704
USR00283,"Los Angeles, CA",2023-04-24,36-45,Female,Social Media,77173
USR00284,"New York, NY",2023-08-10,26-35,Female,Referral,41781
USR00285,"Dallas, TX",2023-09-21,46-55,Male,Organic Search,23652
USR00286,"New York, NY",2023-02-24,26-35,Male,Paid Search,15103
USR00287,"Chicago, IL",2024-04-02,36-45,Female,App Store,35500
USR00288,"Dallas, TX",2023-06-11,46-55,Male,Paid Search,45529
USR00289,"Los Angeles, CA",2024-01-15,55+,Male,Paid Search,28452
USR00290,"Dallas, TX",2023-03-28,36-45,Female,Paid Search,59393
USR00291,"New York, NY",2023-02-24,26-35,Female,Organic Search,41174
USR00292,"New York, NY",2024-04-20,36-45,Female,Paid Search,74450
USR00293,"San Francisco, CA",2023-06-27,46-55,Female,Paid Search,45436
USR00294,"Los Angeles, CA",2024-01-26,36-45,Male,Organic Search,57406
USR00295,"New York, NY",2023-12-15,18-25,Male,Referral,73059
USR00296,"Chicago, IL",2023-01-08,55+,Male,Paid Search,25954
USR00297,"Austin, TX",2023-11-09,36-45,Female,Social Media,92722
USR00298,"New York, NY",2024-03-18,36-45,Female,Social Media,22356
USR00299,"Dallas, TX",2023-11-24,26-35,Male,Organic Search,12187
USR00300,"New York, NY",2023-02-23,36-45,Male,Referral,87243
USR00301,"New York, NY",2023-08-27,26-35,Female,Paid Search,45098
USR00302,"Dallas, TX",2023-08-17,36-45,Female,Social Media,31225
USR00303,"Dallas, TX",2023-02-20,18-25,Male,Organic Search,13606
USR00304,"Dallas, TX",2023-09-21,36-45,Female,Referral,67620
USR00305,"Austin, TX",2024-02-22,55+,Female,Referral,42828
USR00306,"Miami, FL",2023-04-06,18-25,Male,Organic Search,36489
USR00307,"Chicago, IL",2023-03-29,55+,Female,Organic Search,24387
USR00308,"Los Angeles, CA",2023-03-19,26-35,Female,Referral,79463
USR00309,"San Francisco, CA",2023-10-15,46-55,Female,Referral,81832
USR00310,"Los Angeles, CA",2023-04-30,46-55,Female,Paid Search,12591
USR00311,"Chicago, IL",2024-05-05,36-45,Male,Referral,58516
USR00312,"New York, NY",2024-03-27,36-45,Female,Paid Search,72061
USR00313,"New York, NY",2024-05-14,46-55,Female,Referral,76736
USR00314,"Miami, FL",2023-06-14,26-35,Male,Organic Search,91257
USR00315,"San Francisco, CA",2023-07-01,26-35,Male,Social Media,71753
USR00316,"Austin, TX",2024-04-13,36-45,Male,Organic Search,94774
USR00317,"Chicago, IL",2023-01-07,46-55,Female,Paid Search,21087
USR00318,"New York, NY",2023-11-26,36-45,Female,Organic Search,40816
USR00319,"New York, NY",2023-05-31,46-55,Non-binary/Other,Organic Search,33408
USR00320,"Los Angeles, CA",2023-03-26,26-35,Male,Paid Search,10136
USR00321,"Dallas, TX",2023-05-27,46-55,Female,Organic Search,27413
USR00322,"Austin, TX",2024-01-16,26-35,Female,Social Media,69500
USR00323,"Dallas, TX",2024-07-01,36-45,Female,Organic Search,94514
USR00324,"Los Angeles, CA",2023-10-12,18-25,Male,Paid Search,66358
USR00325,"Miami, FL",2023-03-23,26-35,Female,Paid Search,76197
USR00326,"Austin, TX",2024-05-28,26-35,Female,Organic Search,42854
USR00327,"Dallas, TX",2024-06-06,26-35,Female,Organic Search,86240
USR00328,"Dallas, TX",2024-01-21,36-45,Male,Paid Search,26322
USR00329,"Chicago, IL",2024-04-15,26-35,Male,Paid Search,16968
USR00330,"Los Angeles, CA",2023-04-29,26-35,Female,Paid Search,37518
USR00331,"Los Angeles, CA",2024-01-31,26-35,Male,Paid Search,61925
USR00332,"Austin, TX",2024-06-15,26-35,Male,Referral,69848
USR00333,"New York, NY",2023-09-18,26-35,Female,Organic Search,11700
USR00334,"New York, NY",2023-09-13,18-25,Female,Paid Search,33199
USR00335,"New York, NY",2023-08-14,36-45,Female,App Store,54589
USR00336,"New York, NY",2023-02-22,36-45,Male,Paid Search,42115
USR00337,"San Francisco, CA",2024-05-14,36-45,Male,Referral,71934
USR00338,"Austin, TX",2024-05-20,26-35,Male,Paid Search,64316
USR00339,"Chicago, IL",2023-12-30,26-35,Male,Referral,15520
USR00340,"New York, NY",2023-10-07,46-55,Female,Referral,46455
USR00341,"Chicago, IL",2023-06-07,36-45,Male,Paid Search,96465
USR00342,"Chicago, IL",2023-02-28,26-35,Female,App Store,51605
USR00343,"New York, NY",2023-05-08,18-25,Female,Organic Search,24955
USR00344,"Chicago, IL",2023-04-25,26-35,Male,Organic Search,54049
USR00345,"Los Angeles, CA",2023-07-28,26-35,Male,Referral,23917
USR00346,"Dallas, TX",2024-06-09,26-35,Female,Social Media,80293
USR00347,"Dallas, TX",2024-06-04,36-45,Male,Organic Search,88581
USR00348,"New York, NY",2023-08-25,36-45,Male,Organic Search,74925
USR00349,"Los Angeles, CA",2023-10-08,36-45,Female,Organic Search,80269
USR00350,"Dallas, TX",2023-12-25,36-45,Non-binary/Other,Organic Search,40954
USR00351,"Chicago, IL",2023-07-20,46-55,Female,Referral,82617
USR00352,"San Francisco, CA",2023-10-05,36-45,Female,Paid Search,51458
USR00353,"Dallas, TX",2023-08-23,55+,Female,Paid Search,99037
USR00354,"New York, NY",2024-05-08,18-25,Male,Paid Search,31113
USR00355,"New York, NY",2023-01-04,26-35,Male,Organic Search,53939
USR00356,"Dallas, TX",2024-03-17,18-25,Female,Organic Search,39345
USR00357,"New York, NY",2023-01-29,36-45,Female,Referral,56313
USR00358,"Dallas, TX",2023-04-19,46-55,Male,App Store,79166
USR00359,"Miami, FL",2023-03-16,26-35,Female,Social Media,57861
USR00360,"Dallas, TX",2023-05-26,55+,Male,Organic Search,59298
USR00361,"Los Angeles, CA",2023-05-08,18-25,Male,Social Media,57221
USR00362,"Dallas, TX",2023-02-11,55+,Female,Social Media,54942
USR00363,"Chicago, IL",2023-12-22,26-35,Male,Social Media,13453
USR00364,"Dallas, TX",2023-02-10,18-25,Female,Paid Search,64935
USR00365,"Miami, FL",2023-02-03,26-35,Non-binary/Other,Paid Search,53370
USR00366,"Los Angeles, CA",2023-01-17,26-35,Male,Paid Search,18328
USR00367,"Miami, FL",2023-06-02,26-35,Male,Organic Search,25534
USR00368,"Seattle, WA",2024-01-13,26-35,Female,Organic Search,95280
USR00369,"New York, NY",2023-12-08,46-55,Male,Organic Search,94925
USR00370,"New York, NY",2023-01-27,36-45,Female,Paid Search,46320
USR00371,"New York, NY",2023-10-14,26-35,Female,Referral,59170
USR00372,"New York, NY",2023-06-17,36-45,Female,Paid Search,90201
USR00373,"New York, NY",2023-09-25,36-45,Male,Organic Search,18640
USR00374,"Austin, TX",2024-03-30,26-35,Female,App Store,40049
USR00375,"New York, NY",2024-02-05,26-35,Male,App Store,15618
USR00376,"Los Angeles, CA",2024-04-20,26-35,Male,Social Media,66053
USR00377,"San Francisco, CA",2023-05-10,26-35,Female,App Store,11920
USR00378,"New York, NY",2023-12-29,36-45,Male,Paid Search,53937
USR00379,"San Francisco, CA",2023-10-19,26-35,Female,App Store,79724
USR00380,"Los Angeles, CA",2024-01-06,36-45,Male,Organic Search,22207
USR00381,"New York, NY",2023-01-29,36-45,Male,Paid Search,75774
USR00382,"Austin, TX",2023-05-29,18-25,Male,Organic Search,42972
USR00383,"Dallas, TX",2023-10-23,36-45,Male,Organic Search,20799
USR00384,"Seattle, WA",2023-01-11,26-35,Female,Organic Search,81088
USR00385,"Austin, TX",2024-05-26,55+,Female,Referral,38916
