booking_id,user_id,provider_id,service_id,city,booking_date,service_date,status,price_charged,discount_applied,payment_method,cancellation_reason,rating_given,is_repeat_booking,days_to_service
BKG000018,USR00251,PRV00099,SVC009,"Los Angeles, CA",2023-01-14,2023-01-22,completed,245.0,0.0,Debit Card,,4.2,False,8
BKG000019,USR00571,PRV00043,SVC002,"Chicago, IL",2024-03-20,2024-03-25,completed,150.0,20.0,PayPal,,4.9,False,5
BKG000020,USR00235,PRV00081,SVC013,"New York, NY",2023-09-30,2023-10-07,completed,165.0,0.0,Credit Card,,4.7,False,7
BKG000021,USR00275,PRV00109,SVC011,"Chicago, IL",2023-06-14,2023-06-22,completed,65.0,15.0,Debit Card,,4.1,False,8
BKG000022,USR00218,PRV00083,SVC015,"Austin, TX",2023-12-08,2023-12-14,completed,890.0,0.0,Venmo,,4.2,False,6
BKG000023,USR00147,PRV00021,SVC018,"Dallas, TX",2023-04-07,2023-04-08,completed,110.0,0.0,Credit Card,,4.0,False,1
BKG000024,USR00552,PRV00094,SVC014,"San Francisco, CA",2024-06-27,2024-06-28,completed,330.0,0.0,Apple Pay,,4.1,False,1
BKG000025,USR00598,PRV00069,SVC005,"New York, NY",2023-04-23,2023-04-28,cancelled,150.0,15.0,PayPal,pricing_issue,,False,5
BKG000026,USR00522,PRV00150,SVC002,"Los Angeles, CA",2023-03-12,2023-03-20,completed,135.0,5.0,Apple Pay,,3.9,False,8
BKG000027,USR00113,PRV00042,SVC014,"Seattle, WA",2023-03-09,2023-03-10,completed,350.0,0.0,Apple Pay,,3.2,False,1
BKG000028,USR00066,PRV00063,SVC015,"Dallas, TX",2023-05-08,2023-05-12,completed,920.0,0.0,Credit Card,,3.8,False,4
BKG000029,USR00542,PRV00063,SVC001,"Dallas, TX",2024-06-19,2024-06-26,completed,85.0,5.0,Apple Pay,,3.0,False,7
BKG000030,USR00118,PRV00085,SVC011,"New York, NY",2023-07-31,2023-08-03,cancelled,75.0,0.0,Credit Card,user_request,,False,3
BKG000031,USR00115,PRV00021,SVC015,"Dallas, TX",2023-09-30,2023-10-06,cancelled,760.0,0.0,PayPal,user_request,,True,6
BKG000032,USR00004,PRV00068,SVC017,"Dallas, TX",2024-04-26,2024-04-29,cancelled,145.0,0.0,Credit Card,user_request,,False,3
BKG000033,USR00183,PRV00034,SVC010,"Seattle, WA",2023-08-07,2023-08-12,completed,115.0,0.0,Credit Card,,3.4,False,5
BKG000034,USR00520,PRV00053,SVC012,"New York, NY",2023-03-06,2023-03-10,completed,85.0,20.0,Credit Card,,4.0,False,4
BKG000035,USR00166,PRV00158,SVC017,"San Francisco, CA",2023-06-11,2023-06-15,completed,145.0,0.0,PayPal,,4.3,False,4
BKG000036,USR00001,PRV00100,SVC001,"Los Angeles, CA",2024-03-09,2024-03-10,completed,85.0,15.0,Debit Card,,3.5,False,1
BKG000037,USR00115,PRV00079,SVC008,"Dallas, TX",2023-07-17,2023-07-20,completed,115.0,0.0,Credit Card,,4.4,True,3
BKG000038,USR00060,PRV00128,SVC003,"Los Angeles, CA",2024-01-26,2024-01-27,completed,169.0,0.0,Venmo,,3.9,False,1
BKG000039,USR00088,PRV00018,SVC018,"Dallas, TX",2023-11-30,2023-12-03,completed,140.0,0.0,Venmo,,4.3,False,3
BKG000040,USR00129,PRV00147,SVC018,"New York, NY",2024-05-29,2024-05-31,completed,140.0,15.0,PayPal,,4.5,False,2
BKG000041,USR00170,PRV00122,SVC020,"Dallas, TX",2023-03-31,2023-04-02,completed,325.0,5.0,Debit Card,,4.3,False,2
BKG000042,USR00434,PRV00139,SVC007,"New York, NY",2023-07-10,2023-07-13,completed,425.0,5.0,Credit Card,,4.9,False,3
BKG000043,USR00320,PRV00133,SVC012,"Los Angeles, CA",2024-05-08,2024-05-10,completed,90.0,0.0,Debit Card,,3.8,False,2
BKG000044,USR00449,PRV00116,SVC004,"Los Angeles, CA",2023-08-03,2023-08-09,completed,105.0,5.0,Credit Card,,3.6,False,6
BKG000045,USR00254,PRV00086,SVC001,"Los Angeles, CA",2023-02-10,2023-02-18,completed,85.0,0.0,Apple Pay,,5.0,False,8
BKG000046,USR00568,PRV00039,SVC001,"Chicago, IL",2023-05-10,2023-05-19,completed,79.0,15.0,Debit Card,,4.3,False,9
BKG000047,USR00073,PRV00015,SVC008,"New York, NY",2023-12-07,2023-12-12,completed,120.0,0.0,Apple Pay,,3.5,False,5
BKG000048,USR00070,PRV00085,SVC003,"Denver, CO",2024-05-10,2024-05-14,completed,235.0,0.0,Venmo,,3.7,False,4
BKG000049,USR00527,PRV00121,SVC016,"Chicago, IL",2024-02-08,2024-02-16,completed,45.0,20.0,Credit Card,,4.9,False,8
BKG000050,USR00220,PRV00110,SVC019,"San Francisco, CA",2023-09-04,2023-09-07,completed,770.0,0.0,Apple Pay,,4.6,False,3
BKG000051,USR00591,PRV00147,SVC014,"New York, NY",2023-05-11,2023-05-13,completed,350.0,5.0,Debit Card,,3.2,False,2
BKG000052,USR00195,PRV00133,SVC014,"Los Angeles, CA",2023-02-18,2023-02-25,cancelled,315.0,30.0,Credit Card,no_show,,False,7
BKG000053,USR00363,PRV00071,SVC002,"Chicago, IL",2024-02-12,2024-02-18,completed,145.0,0.0,PayPal,,3.8,False,6
BKG000054,USR00101,PRV00118,SVC004,"New York, NY",2023-05-14,2023-05-18,completed,105.0,10.0,Credit Card,,5.0,False,4
BKG000055,USR00255,PRV00137,SVC005,"New York, NY",2023-07-18,2023-07-19,completed,165.0,0.0,Debit Card,,4.1,False,1
BKG000056,USR00433,PRV00057,SVC008,"Dallas, TX",2023-05-20,2023-05-21,completed,130.0,0.0,Credit Card,,4.5,False,1
BKG000057,USR00078,PRV00022,SVC002,"New York, NY",2024-04-01,2024-04-08,cancelled,125.0,10.0,Credit Card,provider_unavailable,,False,7
BKG000058,USR00554,PRV00024,SVC008,"Dallas, TX",2023-07-02,2023-07-10,completed,110.0,25.0,Credit Card,,5.0,False,8
BKG000059,USR00171,PRV00088,SVC007,"Austin, TX",2023-07-11,2023-07-15,cancelled,345.0,0.0,Debit Card,no_show,,False,4
BKG000060,USR00411,PRV00043,SVC013,"Los Angeles, CA",2023-03-12,2023-03-15,completed,125.0,15.0,PayPal,,3.3,False,3
BKG000061,USR00003,PRV00068,SVC015,"Austin, TX",2024-03-18,2024-03-23,completed,715.0,0.0,PayPal,,4.4,False,5
BKG000062,USR00293,PRV00110,SVC018,"San Francisco, CA",2023-04-03,2023-04-09,completed,115.0,0.0,Debit Card,,5.0,False,6
BKG000063,USR00499,PRV00076,SVC007,"Miami, FL",2024-04-16,2024-04-19,completed,375.0,0.0,Credit Card,,5.0,False,3
BKG000064,USR00060,PRV00112,SVC002,"Los Angeles, CA",2024-05-30,2024-06-01,cancelled,140.0,5.0,Venmo,no_show,,True,2
BKG000065,USR00322,PRV00102,SVC016,"Austin, TX",2023-03-22,2023-03-24,completed,55.0,0.0,Credit Card,,4.2,False,2
BKG000066,USR00515,PRV00136,SVC006,"New York, NY",2023-01-02,2023-01-10,completed,85.0,0.0,PayPal,,3.8,False,8
BKG000067,USR00059,PRV00021,SVC006,"New York, NY",2024-04-04,2024-04-10,completed,85.0,15.0,Credit Card,,4.6,False,6
BKG000068,USR00071,PRV00103,SVC008,"Austin, TX",2023-01-20,2023-01-28,completed,115.0,0.0,Credit Card,,4.2,False,8
BKG000069,USR00414,PRV00063,SVC008,"Dallas, TX",2024-01-10,2024-01-16,completed,115.0,10.0,Credit Card,,4.2,False,6
BKG000070,USR00593,PRV00020,SVC014,"New York, NY",2023-09-05,2023-09-11,completed,320.0,0.0,Credit Card,,3.7,False,6
BKG000071,USR00598,PRV00116,SVC009,"New York, NY",2023-12-18,2023-12-27,completed,280.0,0.0,Credit Card,,4.1,True,9
BKG000072,USR00210,PRV00116,SVC008,"New York, NY",2023-02-26,2023-03-02,completed,120.0,0.0,Credit Card,,4.6,False,4
BKG000073,USR00272,PRV00101,SVC010,"San Francisco, CA",2023-08-17,2023-08-19,completed,90.0,15.0,PayPal,,4.2,False,2
BKG000074,USR00469,PRV00150,SVC003,"Los Angeles, CA",2023-03-29,2023-04-06,completed,170.0,0.0,Credit Card,,5.0,False,8
BKG000075,USR00010,PRV00102,SVC004,"Austin, TX",2023-07-29,2023-08-03,completed,120.0,0.0,Credit Card,,4.7,False,5
BKG000076,USR00076,PRV00091,SVC009,"Austin, TX",2023-05-20,2023-05-28,completed,245.0,0.0,Credit Card,,3.3,False,8
BKG000077,USR00136,PRV00018,SVC008,"Los Angeles, CA",2023-12-05,2023-12-08,completed,135.0,5.0,Credit Card,,4.3,False,3
BKG000078,USR00379,PRV00084,SVC018,"San Francisco, CA",2023-04-18,2023-04-20,completed,120.0,5.0,Debit Card,,4.4,False,2
BKG000079,USR00310,PRV00150,SVC017,"Los Angeles, CA",2023-01-16,2023-01-23,completed,125.0,10.0,Apple Pay,,4.3,False,7
BKG000080,USR00009,PRV00063,SVC010,"Dallas, TX",2024-05-31,2024-06-04,completed,105.0,0.0,Credit Card,,4.6,False,4
BKG000081,USR00107,PRV00035,SVC009,"Chicago, IL",2023-01-11,2023-01-16,completed,305.0,0.0,Debit Card,,4.9,False,5
BKG000082,USR00119,PRV00142,SVC005,"Seattle, WA",2024-05-01,2024-05-09,completed,119.0,25.0,Credit Card,,3.8,False,8
BKG000083,USR00279,PRV00052,SVC011,"Austin, TX",2023-12-23,2023-12-24,cancelled,70.0,0.0,Apple Pay,provider_unavailable,,False,1
BKG000084,USR00209,PRV00082,SVC017,"New York, NY",2023-07-16,2023-07-18,cancelled,145.0,10.0,Credit Card,no_show,,False,2
BKG000085,USR00501,PRV00028,SVC003,"Austin, TX",2023-02-11,2023-02-17,completed,185.0,0.0,PayPal,,4.8,False,6
BKG000086,USR00434,PRV00012,SVC001,"New York, NY",2023-11-03,2023-11-12,completed,90.0,0.0,Venmo,,3.7,True,9
BKG000087,USR00342,PRV00068,SVC006,"Chicago, IL",2023-10-08,2023-10-15,completed,70.0,15.0,Apple Pay,,3.7,False,7
BKG000088,USR00453,PRV00070,SVC018,"Chicago, IL",2024-05-24,2024-06-02,completed,115.0,10.0,PayPal,,3.4,False,9
BKG000089,USR00010,PRV00129,SVC005,"Austin, TX",2023-12-02,2023-12-06,completed,140.0,0.0,Credit Card,,5.0,True,4
BKG000090,USR00559,PRV00079,SVC019,"Austin, TX",2024-01-03,2024-01-11,completed,925.0,20.0,Debit Card,,5.0,False,8
BKG000091,USR00566,PRV00021,SVC002,"Dallas, TX",2024-03-08,2024-03-17,cancelled,155.0,0.0,Apple Pay,user_request,,True,9
BKG000092,USR00316,PRV00146,SVC002,"Austin, TX",2023-08-27,2023-09-04,cancelled,140.0,0.0,Credit Card,provider_unavailable,,False,8
BKG000093,USR00367,PRV00073,SVC004,"Miami, FL",2024-01-02,2024-01-06,completed,155.0,0.0,PayPal,,4.8,False,4
BKG000094,USR00363,PRV00105,SVC020,"Chicago, IL",2024-01-04,2024-01-10,completed,320.0,30.0,Credit Card,,4.6,True,6
BKG000095,USR00159,PRV00061,SVC006,"Los Angeles, CA",2023-09-03,2023-09-08,completed,69.0,15.0,Debit Card,,4.4,False,5
BKG000096,USR00182,PRV00007,SVC006,"New York, NY",2023-05-25,2023-05-27,completed,95.0,10.0,PayPal,,4.2,False,2
BKG000097,USR00341,PRV00106,SVC008,"Chicago, IL",2023-01-19,2023-01-26,completed,100.0,0.0,Apple Pay,,3.3,False,7
BKG000098,USR00274,PRV00149,SVC004,"Seattle, WA",2023-02-24,2023-03-05,completed,99.0,20.0,Credit Card,,3.5,False,9
BKG000099,USR00392,PRV00121,SVC008,"Chicago, IL",2023-02-18,2023-02-27,completed,100.0,0.0,Debit Card,,4.8,False,9
BKG000100,USR00205,PRV00118,SVC012,"Dallas, TX",2023-10-23,2023-10-29,completed,90.0,0.0,Debit Card,,4.3,False,6
BKG000101,USR00313,PRV00059,SVC008,"New York, NY",2024-01-13,2024-01-19,completed,125.0,15.0,Venmo,,3.6,False,6
BKG000102,USR00025,PRV00064,SVC011,"Chicago, IL",2023-03-21,2023-03-29,completed,95.0,0.0,Debit Card,,3.9,False,8
BKG000103,USR00286,PRV00072,SVC012,"New York, NY",2023-02-26,2023-03-01,completed,69.0,30.0,Debit Card,,4.5,False,3
BKG000104,USR00522,PRV00151,SVC018,"Los Angeles, CA",2023-11-19,2023-11-28,completed,130.0,0.0,Credit Card,,3.8,True,9
BKG000105,USR00340,PRV00030,SVC009,"New York, NY",2024-01-03,2024-01-10,completed,245.0,0.0,Apple Pay,,4.0,False,7
BKG000106,USR00183,PRV00059,SVC002,"Seattle, WA",2024-05-23,2024-05-25,completed,170.0,10.0,Apple Pay,,4.5,True,2
BKG000107,USR00112,PRV00120,SVC011,"New York, NY",2023-10-10,2023-10-12,completed,70.0,10.0,Venmo,,4.2,False,2
BKG000108,USR00447,PRV00008,SVC013,"Denver, CO",2024-01-08,2024-01-14,completed,155.0,0.0,PayPal,,4.1,False,6
BKG000109,USR00591,PRV00013,SVC014,"New York, NY",2023-07-15,2023-07-18,completed,260.0,0.0,PayPal,,4.9,True,3
BKG000110,USR00002,PRV00073,SVC012,"Miami, FL",2023-07-29,2023-07-30,completed,90.0,15.0,Apple Pay,,4.3,False,1
BKG000111,USR00442,PRV00075,SVC020,"Denver, CO",2023-12-31,2024-01-04,completed,275.0,0.0,Credit Card,,2.8,False,4
BKG000112,USR00322,PRV00037,SVC010,"Austin, TX",2023-04-06,2023-04-13,cancelled,100.0,0.0,Apple Pay,provider_unavailable,,True,7
BKG000113,USR00520,PRV00127,SVC011,"New York, NY",2023-03-23,2023-03-31,completed,75.0,10.0,Debit Card,,4.1,True,8
BKG000114,USR00413,PRV00044,SVC007,"Miami, FL",2024-05-08,2024-05-16,completed,455.0,25.0,Credit Card,,3.6,False,8
BKG000115,USR00431,PRV00125,SVC006,"New York, NY",2023-01-04,2023-01-11,completed,105.0,0.0,Credit Card,,5.0,False,7
BKG000116,USR00583,PRV00108,SVC001,"Chicago, IL",2024-02-08,2024-02-14,completed,79.0,15.0,PayPal,,4.3,False,6
BKG000117,USR00312,PRV00131,SVC019,"New York, NY",2023-12-17,2023-12-22,cancelled,995.0,0.0,PayPal,provider_unavailable,,False,5
BKG000118,USR00330,PRV00100,SVC007,"Los Angeles, CA",2024-04-07,2024-04-08,completed,355.0,10.0,PayPal,,3.6,False,1
BKG000119,USR00524,PRV00158,SVC006,"San Francisco, CA",2024-05-12,2024-05-18,completed,110.0,0.0,PayPal,,4.3,False,6
BKG000120,USR00087,PRV00103,SVC020,"Austin, TX",2023-11-22,2023-11-24,cancelled,295.0,0.0,Credit Card,no_show,,False,2
BKG000121,USR00344,PRV00157,SVC008,"Chicago, IL",2024-05-23,2024-05-24,completed,125.0,0.0,Credit Card,,3.5,False,1
BKG000122,USR00318,PRV00066,SVC005,"New York, NY",2023-11-21,2023-11-30,completed,135.0,0.0,Venmo,,3.6,False,9
BKG000123,USR00026,PRV00088,SVC020,"Austin, TX",2024-04-27,2024-04-30,cancelled,300.0,0.0,Credit Card,provider_unavailable,,False,3
BKG000124,USR00075,PRV00103,SVC019,"Austin, TX",2024-04-17,2024-04-25,completed,760.0,10.0,Credit Card,,3.4,False,8
BKG000125,USR00200,PRV00083,SVC016,"Austin, TX",2023-06-29,2023-07-01,completed,45.0,10.0,Credit Card,,4.5,False,2
BKG000126,USR00410,PRV00003,SVC004,"New York, NY",2024-03-14,2024-03-17,completed,120.0,0.0,PayPal,,4.6,False,3
BKG000127,USR00436,PRV00146,SVC017,"Austin, TX",2023-04-30,2023-05-01,completed,125.0,0.0,Credit Card,,3.4,False,1
BKG000128,USR00476,PRV00093,SVC004,"Boston, MA",2024-05-31,2024-06-07,completed,115.0,0.0,Debit Card,,3.9,False,7
BKG000129,USR00468,PRV00084,SVC017,"San Francisco, CA",2023-03-07,2023-03-13,completed,115.0,0.0,Credit Card,,4.1,False,6
BKG000130,USR00573,PRV00150,SVC015,"Los Angeles, CA",2024-01-31,2024-02-07,completed,750.0,0.0,Credit Card,,4.8,False,7
BKG000131,USR00517,PRV00159,SVC018,"Los Angeles, CA",2023-08-02,2023-08-06,completed,105.0,5.0,Debit Card,,3.2,False,4
BKG000132,USR00457,PRV00122,SVC015,"New York, NY",2023-02-21,2023-02-22,completed,800.0,0.0,Debit Card,,3.7,False,1
BKG000133,USR00266,PRV00071,SVC017,"Austin, TX",2024-04-23,2024-04-25,completed,115.0,0.0,Debit Card,,4.3,False,2
BKG000134,USR00497,PRV00033,SVC015,"Dallas, TX",2024-05-28,2024-06-06,completed,720.0,20.0,PayPal,,4.4,False,9
BKG000135,USR00080,PRV00080,SVC009,"New York, NY",2023-11-10,2023-11-17,completed,220.0,0.0,Venmo,,3.8,False,7
BKG000136,USR00344,PRV00108,SVC003,"Chicago, IL",2023-08-12,2023-08-15,completed,220.0,0.0,Venmo,,3.6,True,3
BKG000137,USR00142,PRV00099,SVC005,"Los Angeles, CA",2023-04-07,2023-04-13,completed,155.0,10.0,Venmo,,3.5,False,6
BKG000138,USR00220,PRV00081,SVC011,"San Francisco, CA",2023-02-15,2023-02-17,completed,59.0,15.0,PayPal,,3.6,True,2
BKG000139,USR00556,PRV00011,SVC007,"Chicago, IL",2023-10-08,2023-10-14,completed,420.0,0.0,Credit Card,,4.4,False,6
BKG000140,USR00431,PRV00012,SVC019,"New York, NY",2024-05-23,2024-05-28,cancelled,1045.0,0.0,Credit Card,scheduling_conflict,,True,5
BKG000141,USR00390,PRV00072,SVC010,"San Francisco, CA",2024-05-16,2024-05-21,completed,79.0,25.0,PayPal,,2.7,False,5
BKG000142,USR00400,PRV00108,SVC018,"Austin, TX",2023-12-12,2023-12-18,completed,120.0,0.0,PayPal,,3.9,False,6
BKG000143,USR00560,PRV00057,SVC016,"Dallas, TX",2023-09-14,2023-09-19,cancelled,45.0,10.0,Debit Card,scheduling_conflict,,False,5
BKG000144,USR00225,PRV00100,SVC001,"Los Angeles, CA",2024-03-13,2024-03-19,completed,95.0,5.0,Debit Card,,4.0,False,6
BKG000145,USR00399,PRV00103,SVC013,"Austin, TX",2023-07-18,2023-07-24,cancelled,119.0,20.0,Credit Card,pricing_issue,,False,6
BKG000146,USR00170,PRV00033,SVC020,"Dallas, TX",2023-02-27,2023-03-01,completed,285.0,0.0,PayPal,,4.5,True,2
BKG000147,USR00547,PRV00126,SVC019,"New York, NY",2024-05-16,2024-05-20,completed,805.0,0.0,Credit Card,,4.9,False,4
BKG000148,USR00578,PRV00034,SVC014,"Seattle, WA",2024-02-16,2024-02-22,completed,249.0,30.0,Credit Card,,4.3,False,6
BKG000149,USR00139,PRV00047,SVC002,"Los Angeles, CA",2023-08-04,2023-08-07,completed,125.0,15.0,PayPal,,4.6,False,3
BKG000150,USR00267,PRV00052,SVC015,"Austin, TX",2023-10-10,2023-10-12,cancelled,855.0,15.0,Credit Card,no_show,,False,2
BKG000151,USR00335,PRV00125,SVC009,"New York, NY",2023-05-05,2023-05-08,completed,265.0,0.0,Credit Card,,4.4,False,3
BKG000152,USR00432,PRV00037,SVC016,"Austin, TX",2023-03-23,2023-03-30,completed,55.0,10.0,Credit Card,,4.1,False,7
BKG000153,USR00020,PRV00014,SVC012,"Los Angeles, CA",2023-04-27,2023-05-01,completed,105.0,0.0,PayPal,,4.3,False,4
BKG000154,USR00230,PRV00122,SVC002,"Dallas, TX",2023-08-04,2023-08-10,completed,160.0,0.0,Credit Card,,4.6,False,6
BKG000155,USR00032,PRV00052,SVC001,"New York, NY",2023-07-26,2023-08-04,completed,80.0,15.0,Apple Pay,,3.7,False,9
BKG000156,USR00157,PRV00088,SVC004,"Austin, TX",2024-04-27,2024-04-29,completed,135.0,20.0,Credit Card,,4.0,False,2
BKG000157,USR00578,PRV00120,SVC009,"Seattle, WA",2023-02-18,2023-02-19,cancelled,205.0,10.0,Venmo,user_request,,True,1
BKG000158,USR00378,PRV00027,SVC006,"New York, NY",2024-05-12,2024-05-17,completed,95.0,10.0,Credit Card,,5.0,False,5
BKG000159,USR00319,PRV00012,SVC010,"New York, NY",2023-04-22,2023-04-28,completed,90.0,5.0,Debit Card,,3.5,False,6
BKG000160,USR00590,PRV00125,SVC013,"New York, NY",2023-04-19,2023-04-23,completed,170.0,0.0,Credit Card,,4.2,False,4
BKG000161,USR00204,PRV00149,SVC008,"Seattle, WA",2024-04-10,2024-04-12,completed,105.0,0.0,Debit Card,,4.0,False,2
BKG000162,USR00105,PRV00059,SVC020,"Seattle, WA",2023-08-31,2023-09-09,completed,295.0,0.0,Credit Card,,3.3,True,9
BKG000163,USR00124,PRV00145,SVC002,"New York, NY",2023-02-28,2023-03-01,completed,170.0,10.0,Apple Pay,,4.0,False,1
BKG000164,USR00356,PRV00113,SVC012,"Dallas, TX",2023-08-17,2023-08-19,completed,80.0,5.0,Debit Card,,4.2,False,2
BKG000165,USR00071,PRV00079,SVC001,"Austin, TX",2024-01-24,2024-01-25,cancelled,85.0,0.0,Credit Card,scheduling_conflict,,True,1
BKG000166,USR00431,PRV00028,SVC014,"New York, NY",2024-03-08,2024-03-09,completed,280.0,20.0,Apple Pay,,3.3,True,1
BKG000167,USR00371,PRV00140,SVC005,"New York, NY",2023-12-01,2023-12-05,completed,160.0,0.0,Credit Card,,3.4,True,4
BKG000168,USR00446,PRV00076,SVC020,"Miami, FL",2023-09-27,2023-09-30,completed,290.0,5.0,Venmo,,4.7,False,3
BKG000169,USR00552,PRV00120,SVC014,"San Francisco, CA",2024-04-05,2024-04-09,completed,285.0,10.0,Credit Card,,3.8,True,4
BKG000170,USR00275,PRV00039,SVC003,"Chicago, IL",2023-04-08,2023-04-13,cancelled,169.0,25.0,Credit Card,user_request,,True,5
BKG000171,USR00286,PRV00063,SVC015,"New York, NY",2024-06-25,2024-06-27,completed,725.0,15.0,Venmo,,4.0,True,2
BKG000172,USR00584,PRV00099,SVC011,"Los Angeles, CA",2024-03-05,2024-03-09,cancelled,80.0,0.0,Credit Card,pricing_issue,,False,4
BKG000173,USR00030,PRV00116,SVC006,"New York, NY",2024-03-20,2024-03-26,completed,75.0,0.0,Venmo,,3.7,False,6
BKG000174,USR00500,PRV00075,SVC011,"Denver, CO",2023-02-27,2023-03-07,completed,70.0,0.0,Debit Card,,4.0,False,8
BKG000175,USR00287,PRV00071,SVC018,"Chicago, IL",2024-02-01,2024-02-04,completed,115.0,15.0,Apple Pay,,3.8,False,3
BKG000176,USR00011,PRV00066,SVC003,"New York, NY",2024-04-28,2024-04-30,completed,169.0,20.0,PayPal,,4.0,False,2
BKG000177,USR00248,PRV00126,SVC018,"Miami, FL",2024-05-05,2024-05-13,completed,125.0,25.0,PayPal,,4.2,False,8
BKG000178,USR00247,PRV00117,SVC016,"Chicago, IL",2023-10-02,2023-10-07,completed,55.0,0.0,Debit Card,,4.3,False,5
BKG000179,USR00459,PRV00024,SVC010,"New York, NY",2023-03-24,2023-03-26,completed,80.0,0.0,Debit Card,,4.5,False,2
BKG000180,USR00227,PRV00073,SVC010,"Miami, FL",2024-01-02,2024-01-09,completed,95.0,0.0,Debit Card,,3.7,False,7
BKG000181,USR00596,PRV00108,SVC017,"Chicago, IL",2023-05-13,2023-05-19,completed,145.0,0.0,Credit Card,,4.1,False,6
BKG000182,USR00353,PRV00113,SVC018,"Dallas, TX",2023-01-18,2023-01-20,completed,99.0,20.0,Credit Card,,2.3,True,2
BKG000183,USR00339,PRV00071,SVC009,"Chicago, IL",2024-01-04,2024-01-10,completed,285.0,0.0,Debit Card,,4.4,False,6
BKG000184,USR00314,PRV00023,SVC007,"Miami, FL",2023-03-13,2023-03-14,cancelled,400.0,0.0,Venmo,provider_unavailable,,False,1
BKG000185,USR00324,PRV00112,SVC006,"Los Angeles, CA",2023-04-09,2023-04-15,completed,105.0,0.0,Credit Card,,4.1,False,6
BKG000186,USR00197,PRV00088,SVC009,"Austin, TX",2023-09-08,2023-09-17,cancelled,220.0,0.0,Debit Card,no_show,,False,9
BKG000187,USR00538,PRV00007,SVC007,"Los Angeles, CA",2023-05-11,2023-05-19,completed,465.0,0.0,PayPal,,4.6,False,8
BKG000188,USR00304,PRV00021,SVC010,"Dallas, TX",2023-07-29,2023-08-05,cancelled,79.0,25.0,Debit Card,provider_unavailable,,False,7
BKG000189,USR00015,PRV00050,SVC009,"New York, NY",2023-05-09,2023-05-11,completed,215.0,0.0,Debit Card,,3.3,False,2
BKG000190,USR00047,PRV00142,SVC010,"Los Angeles, CA",2023-05-19,2023-05-26,completed,100.0,15.0,Credit Card,,3.9,False,7
BKG000191,USR00130,PRV00157,SVC016,"Chicago, IL",2023-12-17,2023-12-26,cancelled,45.0,20.0,Credit Card,provider_unavailable,,False,9
BKG000192,USR00106,PRV00147,SVC010,"Los Angeles, CA",2023-08-03,2023-08-05,completed,95.0,15.0,PayPal,,4.4,False,2
BKG000193,USR00481,PRV00033,SVC006,"Dallas, TX",2024-03-12,2024-03-15,completed,75.0,20.0,Credit Card,,3.8,False,3
BKG000194,USR00053,PRV00114,SVC004,"Seattle, WA",2024-02-09,2024-02-15,completed,135.0,0.0,Credit Card,,4.9,False,6
